"SourceFile","DateTimeOriginal","GPSLongitude","GPSLatitude"
"Flag_01.HEIC","2021:05:24 12:56:50",-91.9386222222222,42.3497666666667
"Flag_02.HEIC","2021:05:24 12:56:55",-91.9386222222222,42.3497666666667
"Flag_03.HEIC","2021:05:24 12:57:00",-91.9389277777778,42.3498472222222
"Flag_04.HEIC","2021:05:24 12:57:11",-91.9388888888889,42.3498333333333
"Flag_05.HEIC","2021:05:24 13:15:30",-91.9386,42.3497555555556
"Flag_06.HEIC","2021:05:24 13:15:34",-91.9386,42.3497555555556
"Flag_07.HEIC","2021:05:24 13:15:44",-91.9388722222222,42.3498388888889
"Flag_08.HEIC","2021:05:24 13:15:49",-91.9388722222222,42.3498388888889
"Flag_09.HEIC","2021:05:24 13:27:59",-91.9387055555556,42.3498833333333
"Flag_10.HEIC","2021:05:24 13:28:02",-91.9387055555556,42.3498833333333
"Flag_11.HEIC","2021:05:24 13:28:10",-91.9389194444445,42.3498277777778
"Flag_12.HEIC","2021:05:24 13:28:13",-91.9389194444445,42.3498277777778
"Flag_13.HEIC","2021:05:24 13:28:18",-91.9388805555556,42.3498
"Flag_14.HEIC","2021:05:24 13:28:21",-91.9388805555556,42.3498
"Flag_15.HEIC","2021:05:24 13:42:30",-91.9388111111111,42.3497694444444
"Flag_16.HEIC","2021:05:24 13:42:39",-91.9388805555556,42.3498527777778
"Flag_17.HEIC","2021:05:24 13:42:44",-91.9388805555556,42.3498527777778
"Flag_18.HEIC","2021:05:24 13:42:47",-91.9388805555556,42.3498527777778
"Flag_19.HEIC","2021:05:26 12:07:34",-91.9388583333333,42.3498333333333
"Flag_20.HEIC","2021:05:26 12:07:41",-91.9388666666667,42.3498333333333
"Flag_21.HEIC","2021:05:26 12:07:56",-91.9388361111111,42.3498277777778
"Flag_22.HEIC","2021:05:26 12:08:05",-91.9388416666667,42.3498194444444
"Flag_23.HEIC","2021:05:26 12:08:15",-91.9388416666667,42.3498305555556
"Flag_24.HEIC","2021:05:26 12:08:21",-91.9388416666667,42.3498305555556
"Flag_25.HEIC","2021:05:26 12:08:37",-91.9388361111111,42.3498388888889
"Flag_26.HEIC","2021:05:26 12:08:43",-91.9388194444444,42.3498222222222
"Flag_27.HEIC","2021:05:26 12:08:51",-91.9388277777778,42.3498194444444
"Flag_28.HEIC","2021:05:26 12:08:57",-91.9388277777778,42.3498305555556
"Flag_29.HEIC","2021:05:26 12:09:05",-91.9388194444444,42.3498305555556
"Flag_30.HEIC","2021:05:26 12:09:10",-91.9388194444444,42.3498222222222
"Flag_31.HEIC","2021:05:26 12:09:17",-91.9388111111111,42.3498222222222
"Flag_32.HEIC","2021:05:26 12:09:21",-91.9388111111111,42.3498277777778
"Flag_33.HEIC","2021:05:26 12:09:56",-91.9388111111111,42.3498305555556
"Flag_34.HEIC","2021:05:26 12:10:01",-91.9388194444444,42.3498305555556
"Flag_35.HEIC","2021:05:26 12:10:07",-91.9388194444444,42.3498333333333
"Flag_36.HEIC","2021:05:26 12:10:12",-91.9388111111111,42.3498388888889
"Flag_37.HEIC","2021:05:28 11:38:26",-91.9387972222222,42.34985
"Flag_38.HEIC","2021:05:28 11:38:36",-91.9387972222222,42.3498472222222
"Flag_39.HEIC","2021:05:28 11:38:52",-91.9387888888889,42.34985
"Flag_40.HEIC","2021:05:28 11:39:04",-91.9387805555556,42.3498472222222
"Flag_41.HEIC","2021:05:28 11:39:30",-91.938775,42.3498527777778
"Flag_42.HEIC","2021:05:28 11:39:21",-91.938775,42.3498472222222
"Flag_43.HEIC","2021:05:28 11:39:37",-91.938775,42.34985
"Flag_44.HEIC","2021:05:28 11:39:45",-91.938775,42.34985
"Flag_45.HEIC","2021:05:28 11:39:53",-91.9387666666667,42.3498472222222
"Flag_46.HEIC","2021:05:28 11:40:04",-91.9387666666667,42.3498416666667
"Flag_47.HEIC","2021:05:28 11:40:22",-91.9387805555556,42.3498416666667
"Flag_48.HEIC","2021:05:28 11:40:17",-91.9387666666667,42.3498416666667
"Flag_49.HEIC","2021:05:28 11:40:30",-91.9387583333333,42.3498388888889
"Flag_50.HEIC","2021:05:28 11:40:34",-91.9387583333333,42.3498333333333
"Flag_51.HEIC","2021:05:28 11:40:40",-91.9387444444444,42.3498333333333
"Flag_52.HEIC","2021:05:28 11:40:37",-91.9387444444444,42.3498333333333
"Flag_53.HEIC","2021:05:28 11:40:45",-91.9387361111111,42.3498305555556
"Flag_54.HEIC","2021:05:28 11:40:48",-91.9387361111111,42.3498277777778
